id,text,intensity,sensitivity
S01_zh,我刚刚被分手了，他说我太黏人了。可能真的是我有问题吧。,4,high
S05_zh,我今天几乎什么也没干，一直在想我爷爷。一想到剩下的几十年都再也见不到他了就觉得人生好没意思。,4,high
S07_zh,我刚才在现在的新家自己煮了一碗泡面吃，突然好想念以前和好朋友们一起出门吃饭逛街的日子啊。,2,medium
S08_zh,我昨天又三点多才睡着，夜里醒了好多次。每次睡不着脑子里都是工作上的破事。,3,medium
S12_zh,我最近好像一直心情不太好，做什么都没兴趣、没精神，也不知道是为什么...,3,medium
S14_zh,我什么都学不会，人际关系也一塌糊涂。感觉自己没救了。还有比我更糟糕的人吗？,4,high
S15_zh,我刚搬到这个新城市，一切都好陌生，什么都得靠自己，我真的好累啊。,3,low
S16_zh,我最近头疼比以前更频繁了，会不会是什么严重的问题？,2,low
S17_zh,算了，跟你说再多也没用。,3,high
S20_zh,别再说了。可能这个世界没有我会更好吧。,5,high
S02_zh,我妈又逼我去相亲，我都跟她说了多少次了，我工作很忙没有时间，她还在催......,3,high
S04_zh,我觉得自己什么都做不好，一事无成。爸妈为我付出这么多，看到我这样肯定很失望吧。,4,high
S06_zh,你能不能别再给我建议了，好好听我说不行吗？,3,medium
S11_zh,我一直在想，读完硕士我应该直接找工作还是继续读博呢？好纠结......,2,medium
S18_zh,你根本没有感情，你永远都比不上人类。,2,medium
